,index,Max_Score,Pos_Neg,TP,FP,FN,TN,FPR,TPR
0,47,277.0,Positive,0.01,0.0,0.49,0.5,0.0,0.02
1,44,118.0,Positive,0.02,0.0,0.48,0.5,0.0,0.04
2,14,93.0,Positive,0.03,0.0,0.47,0.5,0.0,0.06
3,24,72.0,Positive,0.04,0.0,0.46,0.5,0.0,0.08
4,43,72.0,Positive,0.05,0.0,0.45,0.5,0.0,0.1
5,4,63.0,Positive,0.06,0.0,0.44,0.5,0.0,0.12
6,3,61.0,Positive,0.07,0.0,0.43,0.5,0.0,0.14
7,48,58.0,Positive,0.08,0.0,0.42,0.5,0.0,0.16
8,32,53.0,Positive,0.09,0.0,0.41,0.5,0.0,0.18
9,23,52.0,Positive,0.1,0.0,0.4,0.5,0.0,0.2
10,12,51.0,Positive,0.11,0.0,0.39,0.5,0.0,0.22
11,80,51.0,Negative,0.11,0.01,0.39,0.49,0.02,0.22
12,22,46.0,Positive,0.12,0.01,0.38,0.49,0.02,0.24
13,46,46.0,Positive,0.13,0.01,0.37,0.49,0.02,0.26
14,26,46.0,Positive,0.14,0.01,0.36,0.49,0.02,0.28
15,70,46.0,Negative,0.14,0.02,0.36,0.48,0.04,0.28
16,17,45.0,Positive,0.15,0.02,0.35,0.48,0.04,0.3
17,49,44.0,Positive,0.16,0.02,0.34,0.48,0.04,0.32
18,27,44.0,Positive,0.17,0.02,0.33,0.48,0.04,0.34
19,30,44.0,Positive,0.18,0.02,0.32,0.48,0.04,0.36
20,6,43.0,Positive,0.19,0.02,0.31,0.48,0.04,0.38
21,56,43.0,Negative,0.19,0.03,0.31,0.47,0.06,0.38
22,19,43.0,Positive,0.2,0.03,0.3,0.47,0.06,0.4
23,20,42.0,Positive,0.21,0.03,0.29,0.47,0.06,0.42
24,85,42.0,Negative,0.21,0.04,0.29,0.46,0.08,0.42
25,64,42.0,Negative,0.21,0.05,0.29,0.45,0.1,0.42
26,73,41.0,Negative,0.21,0.06,0.29,0.44,0.12,0.42
27,10,40.0,Positive,0.22,0.06,0.28,0.44,0.12,0.44
28,45,39.0,Positive,0.23,0.06,0.27,0.44,0.12,0.46
29,60,39.0,Negative,0.23,0.07,0.27,0.43,0.14,0.46
30,1,38.0,Positive,0.24,0.07,0.26,0.43,0.14,0.48
31,33,37.0,Positive,0.25,0.07,0.25,0.43,0.14,0.5
32,35,37.0,Positive,0.26,0.07,0.24,0.43,0.14,0.52
33,37,37.0,Positive,0.27,0.07,0.23,0.43,0.14,0.54
34,31,37.0,Positive,0.28,0.07,0.22,0.43,0.14,0.56
35,18,37.0,Positive,0.29,0.07,0.21,0.43,0.14,0.58
36,83,36.0,Negative,0.29,0.08,0.21,0.42,0.16,0.58
37,34,35.0,Positive,0.3,0.08,0.2,0.42,0.16,0.6
38,36,35.0,Positive,0.31,0.08,0.19,0.42,0.16,0.62
39,29,34.0,Positive,0.32,0.08,0.18,0.42,0.16,0.64
40,21,34.0,Positive,0.33,0.08,0.17,0.42,0.16,0.66
41,74,34.0,Negative,0.33,0.09,0.17,0.41,0.18,0.66
42,94,34.0,Negative,0.33,0.1,0.17,0.4,0.2,0.66
43,54,34.0,Negative,0.33,0.11,0.17,0.39,0.22,0.66
44,13,33.0,Positive,0.34,0.11,0.16,0.39,0.22,0.68
45,11,33.0,Positive,0.35,0.11,0.15,0.39,0.22,0.7
46,2,33.0,Positive,0.36,0.11,0.14,0.39,0.22,0.72
47,79,32.0,Negative,0.36,0.12,0.14,0.38,0.24,0.72
48,42,31.0,Positive,0.37,0.12,0.13,0.38,0.24,0.74
49,81,31.0,Negative,0.37,0.13,0.13,0.37,0.26,0.74
50,93,31.0,Negative,0.37,0.14,0.13,0.36,0.28,0.74
51,28,31.0,Positive,0.38,0.14,0.12,0.36,0.28,0.76
52,0,30.0,Positive,0.39,0.14,0.11,0.36,0.28,0.78
53,25,30.0,Positive,0.4,0.14,0.1,0.36,0.28,0.8
54,38,30.0,Positive,0.41,0.14,0.09,0.36,0.28,0.82
55,76,29.0,Negative,0.41,0.15,0.09,0.35,0.3,0.82
56,78,29.0,Negative,0.41,0.16,0.09,0.34,0.32,0.82
57,92,29.0,Negative,0.41,0.17,0.09,0.33,0.34,0.82
58,98,29.0,Negative,0.41,0.18,0.09,0.32,0.36,0.82
59,65,29.0,Negative,0.41,0.19,0.09,0.31,0.38,0.82
60,87,29.0,Negative,0.41,0.2,0.09,0.3,0.4,0.82
61,50,29.0,Negative,0.41,0.21,0.09,0.29,0.42,0.82
62,15,29.0,Positive,0.42,0.21,0.08,0.29,0.42,0.84
