,index,Max_Score,Pos_Neg,TP,FP,FN,TN,FPR,TPR
0,17,962.0,Positive,0.01,0.0,0.49,0.5,0.0,0.02
1,20,925.0,Positive,0.02,0.0,0.48,0.5,0.0,0.04
2,19,913.0,Positive,0.03,0.0,0.47,0.5,0.0,0.06
3,6,885.0,Positive,0.04,0.0,0.46,0.5,0.0,0.08
4,46,815.0,Positive,0.05,0.0,0.45,0.5,0.0,0.1
5,26,807.0,Positive,0.06,0.0,0.44,0.5,0.0,0.12
6,18,733.0,Positive,0.07,0.0,0.43,0.5,0.0,0.14
7,36,678.0,Positive,0.08,0.0,0.42,0.5,0.0,0.16
8,80,666.0,Negative,0.08,0.01,0.42,0.49,0.02,0.16
9,78,658.0,Negative,0.08,0.02,0.42,0.48,0.04,0.16
10,94,652.0,Negative,0.08,0.03,0.42,0.47,0.06,0.16
11,70,636.0,Negative,0.08,0.04,0.42,0.46,0.08,0.16
12,34,622.0,Positive,0.09,0.04,0.41,0.46,0.08,0.18
13,21,581.0,Positive,0.1,0.04,0.4,0.46,0.08,0.2
14,69,580.0,Negative,0.1,0.05,0.4,0.45,0.1,0.2
15,27,573.0,Positive,0.11,0.05,0.39,0.45,0.1,0.22
16,33,565.0,Positive,0.12,0.05,0.38,0.45,0.1,0.24
17,74,535.0,Negative,0.12,0.06,0.38,0.44,0.12,0.24
18,23,512.0,Positive,0.13,0.06,0.37,0.44,0.12,0.26
19,22,487.0,Positive,0.14,0.06,0.36,0.44,0.12,0.28
20,31,469.0,Positive,0.15,0.06,0.35,0.44,0.12,0.3
21,15,468.0,Positive,0.16,0.06,0.34,0.44,0.12,0.32
22,60,464.0,Negative,0.16,0.07,0.34,0.43,0.14,0.32
23,43,456.0,Positive,0.17,0.07,0.33,0.43,0.14,0.34
24,63,455.0,Negative,0.17,0.08,0.33,0.42,0.16,0.34
25,73,453.0,Negative,0.17,0.09,0.33,0.41,0.18,0.34
26,25,448.0,Positive,0.18,0.09,0.32,0.41,0.18,0.36
27,53,444.0,Negative,0.18,0.1,0.32,0.4,0.2,0.36
28,37,426.0,Positive,0.19,0.1,0.31,0.4,0.2,0.38
29,56,424.0,Negative,0.19,0.11,0.31,0.39,0.22,0.38
30,38,423.0,Positive,0.2,0.11,0.3,0.39,0.22,0.4
31,47,419.0,Positive,0.21,0.11,0.29,0.39,0.22,0.42
32,28,417.0,Positive,0.22,0.11,0.28,0.39,0.22,0.44
33,30,410.0,Positive,0.23,0.11,0.27,0.39,0.22,0.46
34,77,407.0,Negative,0.23,0.12,0.27,0.38,0.24,0.46
35,76,403.0,Negative,0.23,0.13,0.27,0.37,0.26,0.46
36,16,403.0,Positive,0.24,0.13,0.26,0.37,0.26,0.48
37,12,402.0,Positive,0.25,0.13,0.25,0.37,0.26,0.5
38,92,401.0,Negative,0.25,0.14,0.25,0.36,0.28,0.5
39,4,385.0,Positive,0.26,0.14,0.24,0.36,0.28,0.52
40,82,384.0,Negative,0.26,0.15,0.24,0.35,0.3,0.52
41,0,381.0,Positive,0.27,0.15,0.23,0.35,0.3,0.54
42,81,380.0,Negative,0.27,0.16,0.23,0.34,0.32,0.54
43,13,375.0,Positive,0.28,0.16,0.22,0.34,0.32,0.56
