,index,Max_Score,Pos_Neg,TP,FP,FN,TN,FPR,TPR
0,47,277.0,Positive,0.01,0.0,0.49,0.5,0.0,0.02
1,44,122.0,Positive,0.02,0.0,0.48,0.5,0.0,0.04
2,46,119.0,Positive,0.03,0.0,0.47,0.5,0.0,0.06
3,17,114.0,Positive,0.04,0.0,0.46,0.5,0.0,0.08
4,14,109.0,Positive,0.05,0.0,0.45,0.5,0.0,0.1
5,26,106.0,Positive,0.06,0.0,0.44,0.5,0.0,0.12
6,6,105.0,Positive,0.07,0.0,0.43,0.5,0.0,0.14
7,21,103.0,Positive,0.08,0.0,0.42,0.5,0.0,0.16
8,20,100.0,Positive,0.09,0.0,0.41,0.5,0.0,0.18
9,19,95.0,Positive,0.1,0.0,0.4,0.5,0.0,0.2
10,24,94.0,Positive,0.11,0.0,0.39,0.5,0.0,0.22
11,23,92.0,Positive,0.12,0.0,0.38,0.5,0.0,0.24
12,34,90.0,Positive,0.13,0.0,0.37,0.5,0.0,0.26
13,4,87.0,Positive,0.14,0.0,0.36,0.5,0.0,0.28
14,22,81.0,Positive,0.15,0.0,0.35,0.5,0.0,0.3
15,10,81.0,Positive,0.16,0.0,0.34,0.5,0.0,0.32
16,80,81.0,Negative,0.16,0.01,0.34,0.49,0.02,0.32
17,35,79.0,Positive,0.17,0.01,0.33,0.49,0.02,0.34
18,48,78.0,Positive,0.18,0.01,0.32,0.49,0.02,0.36
19,43,78.0,Positive,0.19,0.01,0.31,0.49,0.02,0.38
20,92,77.0,Negative,0.19,0.02,0.31,0.48,0.04,0.38
21,18,76.0,Positive,0.2,0.02,0.3,0.48,0.04,0.4
22,70,76.0,Negative,0.2,0.03,0.3,0.47,0.06,0.4
23,12,72.0,Positive,0.21,0.03,0.29,0.47,0.06,0.42
24,56,72.0,Negative,0.21,0.04,0.29,0.46,0.08,0.42
25,78,72.0,Negative,0.21,0.05,0.29,0.45,0.1,0.42
26,36,72.0,Positive,0.22,0.05,0.28,0.45,0.1,0.44
27,2,70.0,Positive,0.23,0.05,0.27,0.45,0.1,0.46
28,49,68.0,Positive,0.24,0.05,0.26,0.45,0.1,0.48
29,1,67.0,Positive,0.25,0.05,0.25,0.45,0.1,0.5
30,27,67.0,Positive,0.26,0.05,0.24,0.45,0.1,0.52
31,60,66.0,Negative,0.26,0.06,0.24,0.44,0.12,0.52
32,85,65.0,Negative,0.26,0.07,0.24,0.43,0.14,0.52
33,0,65.0,Positive,0.27,0.07,0.23,0.43,0.14,0.54
34,32,65.0,Positive,0.28,0.07,0.22,0.43,0.14,0.56
35,33,64.0,Positive,0.29,0.07,0.21,0.43,0.14,0.58
36,13,64.0,Positive,0.3,0.07,0.2,0.43,0.14,0.6
37,63,64.0,Negative,0.3,0.08,0.2,0.42,0.16,0.6
38,53,64.0,Negative,0.3,0.09,0.2,0.41,0.18,0.6
39,37,64.0,Positive,0.31,0.09,0.19,0.41,0.18,0.62
40,74,62.0,Negative,0.31,0.1,0.19,0.4,0.2,0.62
41,77,62.0,Negative,0.31,0.11,0.19,0.39,0.22,0.62
42,30,61.0,Positive,0.32,0.11,0.18,0.39,0.22,0.64
43,73,61.0,Negative,0.32,0.12,0.18,0.38,0.24,0.64
44,94,59.0,Negative,0.32,0.13,0.18,0.37,0.26,0.64
45,69,56.0,Negative,0.32,0.14,0.18,0.36,0.28,0.64
46,76,56.0,Negative,0.32,0.15,0.18,0.35,0.3,0.64
47,11,56.0,Positive,0.33,0.15,0.17,0.35,0.3,0.66
48,41,56.0,Positive,0.34,0.15,0.16,0.35,0.3,0.68
49,42,55.0,Positive,0.35,0.15,0.15,0.35,0.3,0.7
50,29,55.0,Positive,0.36,0.15,0.14,0.35,0.3,0.72
51,64,54.0,Negative,0.36,0.16,0.14,0.34,0.32,0.72
52,81,54.0,Negative,0.36,0.17,0.14,0.33,0.34,0.72
53,25,53.0,Positive,0.37,0.17,0.13,0.33,0.34,0.74
54,40,53.0,Positive,0.38,0.17,0.12,0.33,0.34,0.76
55,38,52.0,Positive,0.39,0.17,0.11,0.33,0.34,0.78
56,93,50.0,Negative,0.39,0.18,0.11,0.32,0.36,0.78
57,3,50.0,Positive,0.4,0.18,0.1,0.32,0.36,0.8
58,79,50.0,Negative,0.4,0.19,0.1,0.31,0.38,0.8
59,39,50.0,Positive,0.41,0.19,0.09,0.31,0.38,0.82
60,54,49.0,Negative,0.41,0.2,0.09,0.3,0.4,0.82
61,28,49.0,Positive,0.42,0.2,0.08,0.3,0.4,0.84
62,87,48.0,Negative,0.42,0.21,0.08,0.29,0.42,0.84
63,65,47.0,Negative,0.42,0.22,0.08,0.28,0.44,0.84
64,31,47.0,Positive,0.43,0.22,0.07,0.28,0.44,0.86
65,15,45.0,Positive,0.44,0.22,0.06,0.28,0.44,0.88
66,83,45.0,Negative,0.44,0.23,0.06,0.27,0.46,0.88
67,9,45.0,Positive,0.45,0.23,0.05,0.27,0.46,0.9
68,45,45.0,Positive,0.46,0.23,0.04,0.27,0.46,0.92
69,7,45.0,Positive,0.47,0.23,0.03,0.27,0.46,0.94
70,75,42.0,Negative,0.47,0.24,0.03,0.26,0.48,0.94
71,88,42.0,Negative,0.47,0.25,0.03,0.25,0.5,0.94
72,50,42.0,Negative,0.47,0.26,0.03,0.24,0.52,0.94
73,99,42.0,Negative,0.47,0.27,0.03,0.23,0.54,0.94
74,16,42.0,Positive,0.48,0.27,0.02,0.23,0.54,0.96
75,84,41.0,Negative,0.48,0.28,0.02,0.22,0.56,0.96
76,82,40.0,Negative,0.48,0.29,0.02,0.21,0.58,0.96
77,66,40.0,Negative,0.48,0.3,0.02,0.2,0.6,0.96
78,71,39.0,Negative,0.48,0.31,0.02,0.19,0.62,0.96
79,98,37.0,Negative,0.48,0.32,0.02,0.18,0.64,0.96
80,8,36.0,Positive,0.49,0.32,0.01,0.18,0.64,0.98
81,86,34.0,Negative,0.49,0.33,0.01,0.17,0.66,0.98
82,58,33.0,Negative,0.49,0.34,0.01,0.16,0.68,0.98
83,51,33.0,Negative,0.49,0.35,0.01,0.15,0.7,0.98
